Feature,Importance
ask_size_diff_lag2,0.08600948601909189
bid_size_matched_size_imb_sz_,0.0848423366858752
matched_size_to_total_size_ratio_eng_diff_lag3,0.08156128807971219
imbalance_size_diff_lag2,0.08087553643346358
deviation_from_median_ask_size,0.0785661221821749
target_std_dev,0.07563945693129613
price_spread_near_far,0.0745159747600171
far_price_diff_lag3,0.06266647840268531
imbalance_buy_sell_flag_diff_lag3,0.04472556042042376
far_price_near_price_imb_pr_,0.044470265959799686
ask_size_imbalance_size_imb_sz_,0.042511191583696
deviation_from_median_volume_eng,0.03771150044897112
far_price_diff_lag2,0.03697174871347199
imbalance_to_ask_ratio_eng,0.03446379862742608
far_price_diff_lag1,0.027898554581803195
volume_eng_diff_lag1,0.02382654779690621
imbalance_to_bid_ratio_eng_diff_lag2,0.020661957345374276
imbalance_to_ask_ratio_eng_diff_lag2,0.016282650871183312
matched_size_to_total_size_ratio_eng_diff_lag2,0.016036059732274215
ask_price_far_price_imb_pr_,0.015504821187319249
imbalance_to_bid_ratio_eng_diff_lag3,0.011450579088234587
volume_imbalance_eng_diff_lag3,0.011152843071809209
imbalance_to_ask_ratio_eng_diff_lag3,0.011045721824868819
imbalance_to_bid_ratio_eng_diff_lag1,0.007956446025216028
imbalance_buy_sell_flag_diff_lag2,0.007760615056939214
matched_size_to_total_size_ratio_eng_diff_lag1,0.005300245163633696
imbalance_to_bid_ratio_eng,0.00523058599072369
imbalance_to_ask_ratio_eng_diff_lag1,0.004974599171044685
volume_eng_diff_lag3,0.004106789000829279
volume_eng_diff_lag2,0.004058696232762735
volume_imbalance_eng_diff_lag1,0.0
volume_imbalance_eng_diff_lag2,0.0
